code,date,open,high,low,close,volume
sh.600000,2022-09-09,7.2700,7.3400,7.2400,7.3100,32423037
sh.600000,2022-09-13,7.2800,7.3600,7.2700,7.3500,23795140
sh.600000,2022-09-14,7.2900,7.3400,7.2700,7.2800,18649011
sh.600000,2022-09-15,7.2900,7.3700,7.2800,7.3200,31940343
sh.600000,2022-09-16,7.3000,7.3200,7.1400,7.1400,33979138
sh.600000,2022-09-19,7.1600,7.2000,7.1000,7.1600,22388073
sh.600000,2022-09-20,7.1600,7.1800,7.1000,7.1100,22247046
sh.600000,2022-09-21,7.1000,7.1600,7.0800,7.1300,20026161
sh.600000,2022-09-22,7.1100,7.1400,7.0800,7.1200,19540404
sh.600000,2022-09-23,7.1200,7.1800,7.0900,7.1600,21806262
sh.600000,2022-09-26,7.1200,7.1700,7.0500,7.0600,29503476
sh.600000,2022-09-27,7.0400,7.0900,7.0200,7.0700,20128163
sh.600000,2022-09-28,7.0500,7.1200,7.0200,7.0800,25197590
sh.600000,2022-09-29,7.1100,7.1300,6.9500,6.9900,37072647
sh.600000,2022-09-30,7.0200,7.0700,6.9900,7.0400,21572691
sh.600000,2022-10-10,7.0400,7.0900,7.0100,7.0300,20028296
sh.600000,2022-10-11,7.0700,7.0800,7.0000,7.0100,18613647
sh.600000,2022-10-12,7.0100,7.0500,6.9600,7.0500,20354488
sh.600000,2022-10-13,7.0300,7.0400,6.9700,7.0000,24107256
sh.600000,2022-10-14,7.0300,7.0700,7.0100,7.0300,27342763
sh.600000,2022-10-17,7.0500,7.0500,7.0000,7.0200,20616536
sh.600000,2022-10-18,7.0400,7.0600,7.0100,7.0200,21908675
sh.600000,2022-10-19,7.0200,7.0400,6.9700,6.9700,17988215
sh.600000,2022-10-20,6.9700,7.0000,6.9600,6.9700,19765093
sh.600000,2022-10-21,6.9900,7.0200,6.9100,6.9200,24567888
sh.600000,2022-10-24,6.9300,6.9400,6.8000,6.8100,38610105
sh.600000,2022-10-25,6.8800,6.8800,6.8000,6.8400,26539881
sh.600000,2022-10-26,6.8300,6.8600,6.8000,6.8200,20377311
sh.600000,2022-10-27,6.8300,6.8700,6.8100,6.8200,21293652
sh.600000,2022-10-28,6.8400,6.8700,6.7500,6.8000,28234295
sh.600000,2022-10-31,6.7300,6.7500,6.6300,6.6400,32237373
sh.600000,2022-11-01,6.6800,6.7400,6.6500,6.7400,27035074
sh.600000,2022-11-02,6.7000,6.7400,6.6600,6.7100,24034116
sh.600000,2022-11-03,6.7100,6.7100,6.6400,6.6600,21251911
sh.600000,2022-11-04,6.6500,6.8000,6.6400,6.7900,32665677
sh.600000,2022-11-07,6.7500,6.8300,6.7400,6.8100,16269623
sh.600000,2022-11-08,6.8300,6.8300,6.7700,6.7900,15282862
sh.600000,2022-11-09,6.7700,6.8200,6.7700,6.7900,13127494
sh.600000,2022-11-10,6.7500,6.8000,6.7400,6.7800,12601008
sh.600000,2022-11-11,6.8300,6.9800,6.8300,6.9400,40237053
sh.600000,2022-11-14,6.9800,7.0900,6.9600,7.0300,43777420
sh.600000,2022-11-15,7.0100,7.0900,7.0000,7.0600,25212063
sh.600000,2022-11-16,7.0300,7.0600,7.0100,7.0300,17398102
sh.600000,2022-11-17,7.0200,7.0200,6.9500,6.9800,22026825
sh.600000,2022-11-18,6.9900,7.0000,6.9100,6.9100,22662930
sh.600000,2022-11-21,6.9000,6.9100,6.8300,6.8800,22374965
sh.600000,2022-11-22,6.8900,7.0400,6.8900,7.0200,33424530
sh.600000,2022-11-23,7.0100,7.1200,6.9900,7.0500,36694389
sh.600000,2022-11-24,7.0600,7.1400,7.0300,7.0300,21534531
sh.600000,2022-11-25,7.0400,7.1800,7.0400,7.1700,43033799
sh.600000,2022-11-28,7.1000,7.1000,6.9800,7.0700,37873189
sh.600000,2022-11-29,7.1000,7.3000,7.0800,7.2700,68171227
sh.600000,2022-11-30,7.2400,7.3000,7.2200,7.2200,32346981
sh.600000,2022-12-01,7.2800,7.3400,7.2100,7.2200,30040435
sh.600000,2022-12-02,7.2500,7.2500,7.1700,7.2300,25722026
sh.600000,2022-12-05,7.2800,7.3700,7.2400,7.3600,47367357
sh.600000,2022-12-06,7.3200,7.3900,7.3000,7.3600,30550306
sh.600000,2022-12-07,7.3500,7.4000,7.3000,7.3400,31176550
sh.600000,2022-12-08,7.3200,7.3900,7.3100,7.3800,25551776
sh.600000,2022-12-09,7.3700,7.3900,7.3000,7.3200,38192346
sh.600000,2022-12-12,7.3100,7.3600,7.2300,7.2600,26708550
sh.600000,2022-12-13,7.2700,7.3500,7.2500,7.3200,18253626
sh.600000,2022-12-14,7.3700,7.3700,7.2600,7.3200,16180635
sh.600000,2022-12-15,7.2800,7.3200,7.2300,7.2400,17471770
sh.600000,2022-12-16,7.2500,7.3500,7.2300,7.3500,31704629
sh.600000,2022-12-19,7.3700,7.3700,7.2100,7.2400,20432546
sh.600000,2022-12-20,7.2300,7.2800,7.1300,7.1400,24800259
sh.600000,2022-12-21,7.2200,7.2400,7.1300,7.1900,17252934
sh.600000,2022-12-22,7.2800,7.3100,7.2000,7.2400,18662641
sh.600000,2022-12-23,7.1900,7.2700,7.1700,7.1900,12958464
sh.600000,2022-12-26,7.1900,7.2100,7.0800,7.1000,20138533
sh.600000,2022-12-27,7.1300,7.2900,7.1200,7.2200,24065192
sh.600000,2022-12-28,7.2200,7.3000,7.2000,7.3000,20901364
sh.600000,2022-12-29,7.2700,7.2900,7.1800,7.2400,18367088
sh.600000,2022-12-30,7.2300,7.3000,7.2200,7.2800,20352397
